4 Windswept Heath
3 Misty Rainforest
4 Wooded Foothills
1 Verdant Catacombs
2 Verdant Catacombs
4 Groundswell
2 Spell Pierce
1 Twisted Image
3 Breeding Pool
1 Mishra's Bauble
2 Mishra's Bauble
3 Mishra's Bauble
4 Mishra's Bauble
1 Viridian Corrupter
3 Forest
2 Rancor
4 Misty Rainforest
1 Yavimaya Coast
1 Botanical Sanctum
3 Verdant Catacombs
4 Verdant Catacombs
1 Plague Stinger
1 Phyrexian Crusader
1 Abrupt Decay
1 Overgrown Tomb
1 Night's Whisper
1 Birds of Paradise
1 Fatal Push
1 Swamp
2 Plague Stinger
2 Phyrexian Crusader
2 Abrupt Decay
2 Overgrown Tomb
2 Fatal Push
3 Overgrown Tomb
3 Abrupt Decay
3 Fatal Push
3 Phyrexian Crusader
3 Plague Stinger
4 Phyrexian Crusader
4 Overgrown Tomb
4 Plague Stinger
1 Piracy Charm
2 Twisted Image
1 Ichorclaw Myr
2 Ichorclaw Myr
2 Apostle's Blessing
2 Yavimaya Coast
2 Botanical Sanctum
3 Yavimaya Coast
3 Botanical Sanctum
4 Botanical Sanctum
